solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,8,10,device,0.021122278,0.02111524975,0.017111429,0.000320341,0.000121172,5.8407e-05,0.003529506,0.020752923,0.000378679
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,9,10,device,0.021122188,0.02111905825,0.01711216,0.000324517,0.000120902,6.3285e-05,0.003526963,0.020750681,0.000383746
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,0,10,device,0.208230929,0.208197410875,0.014043795,0.190057075,0.000903476,0.00319884,0.001686501,0.016510076,0.193226181
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,1,10,device,0.010938155,0.01093045825,0.008378123,0.000581733,0.000227992,0.00011946,0.001668083,0.010263672,0.000689434
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,2,10,device,0.0109679,0.0109424225,0.008393556,0.000582164,0.000244257,0.000127832,0.001670136,0.010271455,0.000709996
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,3,10,device,0.010922562,0.01091195275,0.008384883,0.000558008,0.000227802,0.000116715,0.001662966,0.01026246,0.000671358
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,4,10,device,0.010899997,0.010889630875,0.008380377,0.000548343,0.00022685,0.000110827,0.001660782,0.010263702,0.000655003
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,5,10,device,0.010904064,0.010889722125,0.008385724,0.000545348,0.000227261,0.00011332,0.001664198,0.010262371,0.000651708
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,6,10,device,0.010891054,0.0108800535,0.00838296,0.000534633,0.00022683,0.00010658,0.001662134,0.010264174,0.000638429
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,7,10,device,0.010901821,0.010893539125,0.008378043,0.000549485,0.000227832,0.00010665,0.001661463,0.010260538,0.000654713
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,8,10,device,0.010895982,0.01088397225,0.00837629,0.000540281,0.000227632,0.000114943,0.001663596,0.010258806,0.00064656
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,9,10,device,0.010912476,0.01090265,0.008374257,0.000556325,0.000227792,0.00011296,0.001660553,0.010256632,0.00066581
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,0,10,device,0.153174947,0.1531343915,0.087743495,0.04749195,0.000347311,0.002171108,0.01550622,0.103595835,0.049663058
